step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax,yc,vc,circularity,pmax_minus_pmin
860,0.236916,0.000275483,3.49424e-08,2.68196e-12,0.0750834,0.196732,0.250169,0.749831,8,3,4,0.00144901,0.5,-1.10003e-13,1.00197,4.03158
880,0.242425,0.000275483,3.51064e-08,2.67883e-12,0.0750785,0.196732,0.25017,0.74983,8,3,3,0.0014485,0.5,-1.43309e-13,1.00197,4.03158
900,0.247935,0.000275483,3.52383e-08,2.67894e-12,0.0750841,0.196731,0.25017,0.74983,8,3,4,0.00144767,0.5,-1.72263e-13,1.00198,4.03161
920,0.253445,0.000275483,3.53549e-08,2.68514e-12,0.0750719,0.196731,0.25017,0.74983,8,3,4,0.00144733,0.5,-8.34437e-14,1.00198,4.03161
940,0.258954,0.000275483,3.5458e-08,2.68532e-12,0.0750732,0.196731,0.25017,0.74983,8,3,4,0.00144781,0.5,-7.69176e-14,1.00197,4.03161
960,0.264464,0.000275483,3.55275e-08,2.66709e-12,0.0750888,0.19673,0.250171,0.749829,8,3,4,0.0014478,0.5,-1.11388e-13,1.00197,4.03163
980,0.269974,0.000275483,3.55909e-08,2.68032e-12,0.075077,0.19673,0.250171,0.749829,8,3,4,0.00144835,0.5,-5.38458e-14,1.00198,4.03164
1000,0.275483,0.000275483,3.56336e-08,2.6858e-12,0.075078,0.19673,0.250171,0.749829,8,3,4,0.00144893,0.5,-6.83626e-14,1.00198,4.03166
1020,0.280993,0.000275483,3.56496e-08,2.68457e-12,0.0750786,0.196729,0.250171,0.749829,8,3,4,0.00144861,0.5,-1.79263e-13,1.00197,4.03166
1040,0.286503,0.000275483,3.56712e-08,2.68163e-12,0.0750775,0.196729,0.250171,0.749829,8,3,4,0.00144973,0.5,-1.40809e-13,1.00197,4.03166
1060,0.292012,0.000275483,3.56694e-08,2.67896e-12,0.0750851,0.196729,0.250172,0.749828,8,3,4,0.0014504,0.5,-2.10459e-13,1.00198,4.03169
1080,0.297522,0.000275483,3.56623e-08,2.68504e-12,0.0750722,0.196728,0.250172,0.749828,8,3,4,0.00145097,0.5,-2.53636e-13,1.00198,4.03169
1100,0.303032,0.000275483,3.56545e-08,2.68819e-12,0.0750696,0.196728,0.250172,0.749828,8,3,3,0.00145212,0.5,-1.83325e-13,1.00197,4.03169
1120,0.308541,0.000275483,3.56272e-08,2.68148e-12,0.075084,0.196728,0.250172,0.749828,8,3,4,0.00145264,0.5,-1.77251e-13,1.00197,4.0317
1140,0.314051,0.000275483,3.56099e-08,2.68053e-12,0.0750765,0.196728,0.250173,0.749827,8,3,3,0.00145366,0.5,-1.99955e-13,1.00198,4.0317
1160,0.319561,0.000275483,3.55842e-08,2.68424e-12,0.0750785,0.196727,0.250173,0.749827,8,3,4,0.00145427,0.5,-1.18868e-13,1.00198,4.03173
1180,0.32507,0.000275483,3.55477e-08,2.68687e-12,0.0750744,0.196727,0.250173,0.749827,8,3,4,0.00145387,0.5,-1.21027e-14,1.00198,4.03172
1200,0.33058,0.000275483,3.55292e-08,2.68545e-12,0.0750735,0.196727,0.250173,0.749827,8,3,4,0.00145481,0.5,-8.86306e-14,1.00197,4.03171
1220,0.336089,0.000275483,3.54997e-08,2.68631e-12,0.0750824,0.196727,0.250173,0.749827,8,3,4,0.00145547,0.5,-1.09673e-13,1.00198,4.03173
1240,0.341599,0.000275483,3.54741e-08,2.69199e-12,0.0750728,0.196726,0.250174,0.749826,8,3,4,0.00145556,0.5,-1.34523e-13,1.00198,4.03173
1260,0.347109,0.000275483,3.54569e-08,2.69684e-12,0.0750658,0.196726,0.250174,0.749826,8,3,3,0.00145621,0.5,-2.02189e-13,1.00198,4.03173
1280,0.352618,0.000275483,3.54271e-08,2.69228e-12,0.0750766,0.196726,0.250174,0.749826,8,3,4,0.00145614,0.5,-1.58385e-13,1.00197,4.03173
1300,0.358128,0.000275483,3.5416e-08,2.68794e-12,0.0750722,0.196726,0.250174,0.749826,8,3,4,0.00145689,0.5,-1.75527e-13,1.00197,4.03172
1320,0.363638,0.000275483,3.53994e-08,2.68805e-12,0.075077,0.196725,0.250174,0.749826,8,3,4,0.00145707,0.5,-2.19931e-13,1.00198,4.03175
1340,0.369147,0.000275483,3.53777e-08,2.69279e-12,0.075071,0.196725,0.250174,0.749826,8,3,4,0.00145621,0.5,-1.45547e-13,1.00198,4.03175
1360,0.374657,0.000275483,3.53763e-08,2.69791e-12,0.0750678,0.196725,0.250175,0.749825,8,3,3,0.00145675,0.5,-1.38982e-13,1.00197,4.03173
1380,0.380167,0.000275483,3.53653e-08,2.68923e-12,0.0750766,0.196724,0.250175,0.749825,8,3,4,0.00145715,0.5,-1.62288e-13,1.00197,4.03175
1400,0.385676,0.000275483,3.5359e-08,2.69007e-12,0.0750723,0.196724,0.250175,0.749825,8,3,4,0.00145692,0.5,-9.42886e-14,1.00198,4.03174
1420,0.391186,0.000275483,3.53606e-08,2.69439e-12,0.0750632,0.196724,0.250175,0.749825,8,3,4,0.00145722,0.5,-1.08342e-13,1.00198,4.03175
1440,0.396696,0.000275483,3.53483e-08,2.69433e-12,0.0750701,0.196723,0.250175,0.749825,8,3,3,0.00145669,0.5,-1.67015e-13,1.00198,4.03176
1460,0.402205,0.000275483,3.53564e-08,2.6895e-12,0.0750656,0.196723,0.250176,0.749824,8,3,4,0.00145747,0.5,-1.26762e-13,1.00197,4.03174
1480,0.407715,0.000275483,3.53559e-08,2.68592e-12,0.0750742,0.196723,0.250176,0.749824,8,3,3,0.00145762,0.5,-1.63543e-13,1.00198,4.03176
